id_of_cashier,date_of_purchase,time_of_purchase,id_of_typeOfPurchase,card_number
5,5.16.2021,22:29,3,4372407152410795
12,8.19.2021,9:10,3,4103303568272721
7,8.22.2021,8:17,4,4903280596593436
2,10.15.2021,6:58,2,4203857685654822
12,8.16.2021,3:45,3,4469769968414585
10,3.6.2021,15:3,3,4742264623711686
3,8.19.2021,9:18,4,4289256536968231
9,12.18.2021,1:16,1,4703784546978455
15,3.1.2021,16:2,3,4536997097385426
6,1.7.2021,14:15,2,4205753793300136
4,10.20.2021,13:23,3,4092396157098280
9,4.6.2021,12:24,4,4346156282498695
9,7.3.2021,16:25,2,4787439950211563
2,11.6.2021,18:39,2,4709777067379285
6,11.26.2021,7:47,5,4673719037002281
4,10.7.2021,0:5,3,4023280244549301
10,4.18.2021,3:14,3,4871372303924759
10,1.12.2021,4:11,3,4437409914294848
6,7.18.2021,13:2,4,4323029854374011
8,3.4.2021,9:48,5,4457464537681043
12,1.11.2021,6:5,1,4362212720217244
11,6.3.2021,14:51,1,4545668770658319
14,3.26.2021,8:32,3,4059643052062072
14,5.14.2021,1:9,2,4695041023815559
2,11.6.2021,10:33,5,4744144304415178
1,11.28.2021,22:24,3,4089620235575369
6,3.5.2021,1:43,4,4571168653676642
14,7.16.2021,2:11,4,4564865572251277
6,4.9.2021,8:39,4,4853984475135504
1,3.21.2021,0:39,4,4284458126168609
3,12.27.2021,17:26,2,4613052424750173
8,8.3.2021,5:19,4,4653561097677328
15,9.19.2021,15:37,1,4309795438905916
10,7.20.2021,6:28,1,4302985034207745
4,4.23.2021,8:38,2,4767502578149901
13,6.19.2021,8:50,4,4383553957442797
10,6.14.2021,22:11,1,4922464182258677
4,5.6.2021,7:46,4,4827138057216291
3,7.22.2021,12:14,5,4331721312324787
13,9.23.2021,23:14,2,4701396510747315
8,7.28.2021,22:4,4,4475271623653861
15,8.11.2021,3:50,4,4459602032652356
8,11.6.2021,10:32,2,4708396698416445
4,6.20.2021,6:14,3,4760032795637466
8,4.2.2021,8:20,1,4665901176709991
12,11.4.2021,17:11,3,4647442651281140
14,2.25.2021,2:59,3,4942731811777085
3,9.19.2021,13:11,1,4727180782277594
6,6.3.2021,14:12,1,4071245201311255
1,9.28.2021,21:51,3,4786812986170968
2,7.27.2021,21:28,5,4077875188375760
9,3.6.2021,9:15,4,4143676890570842
1,9.14.2021,20:29,1,4604053896115866
14,2.3.2021,17:51,3,4537726142857186
5,9.18.2021,18:18,2,4509402060113413
11,11.2.2021,21:46,3,4623171382964372
10,12.27.2021,4:27,3,4992337185839926
8,11.23.2021,2:47,5,4977659648978353
11,6.15.2021,7:54,2,4765048970416114
2,2.13.2021,9:52,3,4789141005383506
4,2.22.2021,0:1,5,4216450515653771
12,12.10.2021,4:58,3,4526379289874495
1,4.2.2021,4:20,5,4270429156297254
8,5.3.2021,9:0,3,4916563219264235
1,10.7.2021,21:24,3,4564529760951148
9,12.16.2021,15:30,3,4960883774003194
14,4.12.2021,10:38,3,4865371303202929
7,9.12.2021,12:18,3,4489754255913678
3,10.8.2021,21:26,5,4512985491781770
7,12.6.2021,20:50,1,4665116428491212
12,2.14.2021,2:25,1,4584267972334592
11,3.12.2021,18:56,5,4886170960073568
3,6.17.2021,4:7,4,4539801528720895
8,1.8.2021,16:34,4,4914496278506622
12,4.8.2021,6:39,5,4181715921765412
3,6.18.2021,17:41,1,4428785923787515
15,6.13.2021,20:8,2,4931959558388595
11,11.28.2021,11:32,3,4038923986164310
5,4.6.2021,15:18,3,4814047600139883
11,2.18.2021,14:45,3,4888708101359249
15,4.28.2021,3:22,4,4088876887761667
